NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,NO_MESORREGIAO,CO_MESORREGIAO,NO_MICRORREGIAO,CO_MICRORREGIAO,NO_ENTIDADE,CO_ENTIDADE,QT_MAT_BAS,QT_MAT_INF,QT_MAT_FUND,QT_MAT_MED,QT_MAT_EJA,QT_MAT_ESP
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,ESCOLA ESTADUAL PROFESSORA MARIA LAURETANEA ROLIM BEZERRA DO VALE,24000019,87,0,87,0,0,17
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,ESCOLA ESTADUAL DESEMBARGADOR SILVERIO SOARES,24000027,308,0,0,308,0,4
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,CENTRO DE EDUCACAO INFANTIL LUIZ BRENO,24000051,289,289,0,0,0,36
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,CEI JOANA ZELINDA,24000060,117,117,0,0,0,6
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,CRECHE SAO CRISTOVAO,24000108,,,,,,
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,CENTRO DE EDUCACAO INFANTIL SAO SEBASTIAO,24000116,99,99,0,0,0,2
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,EDUCANDARIO N S DOS NAVEGANTES,24000124,324,156,168,0,0,24
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,ESCOLA ESTADUAL CONEGO ISMAR FERNANDES DE QUEIROZ,24000132,376,0,138,92,146,17
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,ESCOLA ESTADUAL CONSELHEIRO BRITO GUERRA,24000140,378,0,0,378,0,14
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,ESCOLA MUNICIPAL ANTONIO GENTIL FERNANDES,24000159,91,36,55,0,0,2
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,ESCOLA ESTADUAL DOUTOR DAGMAR SABINO,24000175,215,0,215,0,0,19
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,ESCOLA ESTADUAL ELITA MONTE,24000191,284,0,0,0,284,11
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,ESCOLA ESTADUAL PROFESSORA ANTONIA GIRLANDE BRUNO DA SILVA,24000213,178,0,178,0,0,7
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,ESCOLA MUNICIPAL MARIA NORONHA FILGUEIRA,24000272,82,33,49,0,0,3
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,EM ALUIZIO ALVES,24000280,232,0,232,0,0,20
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,EM ANA DE SOUZA ROLIM,24000299,119,20,99,0,0,8
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,EM JOSE SOLON,24000310,79,32,47,0,0,3
Nordeste,2,Rio Grande do Norte,RN,24,Areia Branca,2401107,Oeste Potiguar,2401,Mossoró,24001,EM FRANCISCO DA BORJA,24000337,185,0,176,0,9,7
